92,67,15,83,65,95,38,93,0,59
20,13,98,80,35,68,3,71,38,28
86,26,65,91,15,26,3,37,59,17
9,86,41,97,79,8,7,1,67,51
55,76,80,79,63,35,61,14,40,87
79,47,92,91,49,4,85,46,1,65
17,96,77,4,45,16,98,4,66,25
8,65,81,82,54,75,80,14,34,25
18,94,40,28,19,18,12,9,61,81
54,46,63,17,64,48,99,74,29,67
87,42,96,36,55,41,32,9,66,92
16,85,95,86,12,5,85,81,42,20
82,9,95,72,77,16,59,90,28,9
94,9,35,84,21,13,89,32,14,2
28,43,97,84,53,80,3,22,33,38
5,19,31,70,30,24,56,20,57,98
68,32,47,84,42,24,61,95,89,22
61,44,1,74,89,87,16,44,73,51
90,90,87,17,76,0,29,59,0,61
30,73,51,31,94,98,25,75,20,64
80,10,74,17,19,32,57,62,42,36
84,60,90,29,26,61,56,41,99,8
69,83,71,15,63,17,51,75,40,2
82,44,24,93,14,32,56,74,50,4
4,49,33,32,18,87,75,73,68,39
96,23,96,59,4,53,46,94,20,35
87,62,64,87,7,13,71,69,52,52
43,2,99,77,20,98,77,60,54,3
89,98,17,31,45,82,68,95,90,85
4,41,82,92,71,66,5,57,38,25
13,12,57,25,3,0,44,84,84,15
61,76,7,51,51,17,78,70,16,74
44,88,12,88,5,74,99,46,14,94
98,14,18,30,35,63,72,9,94,92
96,92,87,83,23,25,41,42,22,11
30,25,90,10,77,74,61,7,63,45
54,65,11,88,5,84,81,58,58,38
41,8,18,99,56,26,13,37,56,13
63,55,1,43,34,56,88,59,26,9
72,54,52,37,21,70,79,82,81,50
22,89,31,19,19,53,71,53,45,45
81,40,38,55,76,94,63,19,31,98
61,2,20,61,56,76,46,48,5,69
16,49,87,1,9,10,14,39,79,13
11,8,61,32,97,0,40,60,17,41
90,46,82,95,49,31,77,13,97,40
24,83,19,96,96,49,9,16,70,21
90,39,20,5,58,28,18,43,80,97
81,3,46,51,6,66,7,6,40,0
73,47,13,85,20,51,34,65,81,69
87,86,13,92,3,36,31,45,70,68
76,72,69,42,81,3,47,35,77,71
31,82,42,78,40,88,50,9,57,47
31,91,9,38,49,89,41,68,75,14
15,56,27,92,73,90,68,35,59,35
23,86,65,69,95,16,80,36,25,41
44,3,85,52,57,51,56,89,45,21
76,71,97,9,21,18,35,61,48,85
58,15,90,39,55,36,80,12,77,99
7,89,18,72,19,60,84,75,83,48
74,99,38,75,55,90,34,67,17,16
91,8,28,64,3,3,80,91,61,43
92,80,47,62,48,83,42,28,2,84
62,13,69,87,6,29,35,67,95,34
63,98,89,62,75,93,38,54,4,69
54,89,27,99,55,99,85,64,35,24
52,59,35,5,93,63,93,36,1,99
39,67,24,80,6,78,51,8,64,80
74,84,55,62,64,59,96,55,88,9
85,81,60,84,78,13,92,85,19,2
98,47,85,46,95,14,80,65,35,25
93,35,70,36,28,10,45,88,37,76
81,85,8,3,19,22,42,64,21,11
14,71,37,0,43,50,6,84,18,37
20,76,70,61,61,15,14,49,45,54
95,11,96,30,95,22,20,82,49,85
44,78,45,29,38,9,0,66,84,0
17,30,60,75,10,18,82,20,95,90
69,31,82,22,88,9,34,52,40,53
3,55,72,60,75,53,19,11,50,45
36,13,73,22,18,32,58,95,58,68
50,50,86,36,65,45,73,86,59,23
15,85,73,62,93,47,76,84,72,0
55,56,81,98,33,19,81,25,88,34
46,39,35,76,89,18,80,64,54,10
74,0,70,19,37,97,97,73,50,40
11,35,35,62,78,18,30,60,96,61
83,93,54,35,32,37,86,45,32,3
29,84,73,43,62,98,59,70,29,67
7,77,59,46,40,27,1,18,37,41
17,14,36,36,62,82,19,46,12,33
47,82,73,1,47,77,60,73,90,33
63,77,25,15,70,89,67,15,49,68
46,17,65,93,32,30,80,87,7,83
38,94,35,88,49,40,28,48,83,13
72,0,4,5,40,23,8,0,12,58
27,41,81,99,97,30,24,53,34,51
1,62,69,63,89,99,95,84,21,20
96,80,89,18,47,4,23,17,49,70
31,52,63,10,91,95,66,41,82,3
